Material type,ISBN,Name,All names,Title,Variant titles,Country of publication,Publisher,Year of publication,Edition,Topics,Genres,Languages
Volume,9780141309712,Roald Dahl,Roald Dahl ; Quentin Blake,The enormous crocodile,,England,Puffin,2000,,,Children's fiction,English
Volume,9780141311289,Roald Dahl,Roald Dahl ; Quentin Blake,Fantastic Mr Fox,,England,Puffin,2001,New edition,Foxes--Juvenile fiction,Children's fiction,English
Volume,9780141311357,Roald Dahl,Roald Dahl ; Quentin Blake,James and the giant peach,,England,Puffin,2001,,,,English
Volume,9780141311401,Roald Dahl,Roald Dahl ; Quentin Blake,Boy : tales of childhood,,England,Puffin,2001,New edition,"Roald Dahl--Juvenile literature ; Authors, English--20th century--Biography--Juvenile literature",,English
Volume,9780141311425,Roald Dahl,,Going solo,,England,Puffin,2001,,"Roald Dahl--Juvenile literature ; Authors, Welsh--20th century--Biography--Juvenile literature",Biography ; Children's literature,English
Volume,9780141311432,Roald Dahl,Roald Dahl ; Quentin Blake,Charlie and the great glass elevator,,England,Puffin,2001,New edition,Charlie (Fictitious character)--Juvenile fiction,Adventure ; Children's fiction,English
Volume,9780141311517,Roald Dahl,,Skin and other stories,Collected short stories of Roald Dahl,England,Puffin,2001,,"Young adult fiction, English",,English
Volume,9780141311524,Roald Dahl,,The enormous crocodile,,England,Puffin,2001,,Crocodiles--Juvenile fiction,Children's fiction,English
Volume,9780141317335,Roald Dahl,,The Roald Dahl treasury,,England,Puffin,2003,,"Children's literature, English",,English
Volume,9780224046459,Roald Dahl,Ralph Steadman ; Roald Dahl,The Mildenhall treasure,,England,Jonathan Cape,1999,"New edition, illustrated by Ralph Steadman","Butcher, Gordon ; Silverwork--Rome ; Treasure-trove--England--Suffolk",,English
Volume,9780224064705,Roald Dahl,Roald Dahl ; Quentin Blake,The witches,,England,Cape Children's,2002,,Witches--Juvenile fiction,Children's fiction,English
Volume,9780224064910,Roald Dahl,Roald Dahl ; Quentin Blake,The Twits,,England,Cape Children's,2003,,,Children's fiction,English
Volume,9780224064927,Roald Dahl,Roald Dahl ; Quentin Blake,Esio trot,,England,Jonathan Cape,2003,,Size--Juvenile fiction ; Turtles--Juvenile fiction,Children's fiction,English
Volume,9780224064934,Roald Dahl,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,England,Jonathan Cape,2003,,,,English
